5143,2020-05-22 17:37:32.391,2020-05-22 17:41:32.555,大溪-動態TOD(慈康陸橋_主控群組),大溪-動態TOD(慈康陸橋_主控群組)-056 測試反應計畫,056,cctv088,候隊,浮水印測試,0,2020-05-22 17:38:16,反應計畫測試_CCTV浮水印,05,測試反應計畫,自動
5116,2020-05-19 12:00:34.757,2020-05-20 02:54:43.943,大溪-交通疏導策略(進入大溪),大溪-交通疏導策略(進入大溪)-038 停車資訊發布,038,X-68000-101,候隊,月眉停車場  橋頭停車場  皆有空位,0,2020-05-22 18:29:19,月眉&gt;0，橋頭&gt;0,12,停車資訊發布,自動
5117,2020-05-19 12:00:34.712,2020-05-19 12:09:31.42,大溪-交通疏導策略(進入大溪),大溪-交通疏導策略(進入大溪)-040 停車導引(導往橋頭),040,X-68000-101,候隊,月眉P 已滿  橋頭P 未滿,0,2020-05-22 18:29:19,月眉&lt;0，橋頭&gt;0,12,停車導引(導往橋頭),自動
5113,2020-05-18 18:12:43.153,2020-05-19 09:45:40.072,大溪-動態TOD(慈康陸橋_主控群組),大溪-動態TOD(慈康陸橋_主控群組)-056 測試反應計畫,056,cctv088,候隊,浮水印測試,0,2020-05-22 18:29:19,反應計畫測試_CCTV浮水印,05,測試反應計畫,自動
5109,2020-05-17 22:03:56.856,2020-05-18 18:12:29.749,大溪-動態TOD(慈康陸橋_主控群組),大溪-動態TOD(慈康陸橋_主控群組)-056 測試反應計畫,056,cctv088,候隊,浮水印測試,0,2020-05-22 18:29:19,反應計畫測試_CCTV浮水印,05,測試反應計畫,自動
5106,2020-05-17 21:45:42.619,2020-05-17 21:55:17.405,大溪-動態TOD(慈康陸橋_主控群組),大溪-動態TOD(慈康陸橋_主控群組)-056 測試反應計畫,056,cctv084,候隊,測試浮水印,0,2020-05-22 18:29:19,反應計畫測試_CCTV浮水印,05,測試反應計畫,自動
5091,2020-05-14 22:22:37.305,2020-05-14 22:23:03.148,大溪-交通疏導策略(替代道路路徑導引),大溪-交通疏導策略(替代道路路徑導引)-034 替代路徑導引(導三元一街),034,T502460,候隊,前往大溪老街，經崎頂極壅塞，請走三元一街,0,2020-05-22 18:29:19,大溪疏導策略-替代路徑導引(三元一街),09,替代路徑導引(導三元一街),自動
5091,2020-05-14 22:22:37.304,2020-05-14 22:23:03.148,大溪-交通疏導策略(替代道路路徑導引),大溪-交通疏導策略(替代道路路徑導引)-034 替代路徑導引(導三元一街),034,T502070,候隊,前往大溪老街，經崎頂極壅塞，請走三元一街,0,2020-05-22 18:29:19,大溪疏導策略-替代路徑導引(三元一街),09,替代路徑導引(導三元一街),自動
5144,2020-05-22 17:44:31.715,2020-05-22 17:49:35.578,大溪-動態TOD(慈康陸橋_主控群組),大溪-動態TOD(慈康陸橋_主控群組)-056 測試反應計畫,056,cctv088,候隊,浮水印測試,0,2020-05-22 17:45:17,反應計畫測試_CCTV浮水印,05,測試反應計畫,自動
5091,2020-05-14 22:22:37.302,2020-05-14 22:23:03.148,大溪-交通疏導策略(替代道路路徑導引),大溪-交通疏導策略(替代道路路徑導引)-034 替代路徑導引(導三元一街),034,X502620,候隊,前往大溪老街  經崎頂極度壅塞請走三元一街,0,2020-05-22 18:29:19,大溪疏導策略-替代路徑導引(三元一街),09,替代路徑導引(導三元一街),自動
5091,2020-05-14 22:22:37.185,2020-05-14 22:23:03.148,大溪-交通疏導策略(替代道路路徑導引),大溪-交通疏導策略(替代道路路徑導引)-034 替代路徑導引(導三元一街),034,X-68000-104,候隊,前往大溪老街經崎頂極壅塞請走三元一街,0,2020-05-22 18:29:19,大溪疏導策略-替代路徑導引(三元一街),09,替代路徑導引(導三元一街),自動
5090,2020-05-14 21:08:42.137,2020-05-14 21:11:56.86,大溪-交通疏導策略(替代道路路徑導引),大溪-交通疏導策略(替代道路路徑導引)-034 替代路徑導引(導三元一街),034,T502460,候隊,前往大溪老街，經崎頂極壅塞，請走三元一街,0,2020-05-22 18:29:19,大溪疏導策略-替代路徑導引(三元一街),09,替代路徑導引(導三元一街),自動
5090,2020-05-14 21:08:42.136,2020-05-14 21:11:56.86,大溪-交通疏導策略(替代道路路徑導引),大溪-交通疏導策略(替代道路路徑導引)-034 替代路徑導引(導三元一街),034,T502070,候隊,前往大溪老街，經崎頂極壅塞，請走三元一街,0,2020-05-22 18:29:19,大溪疏導策略-替代路徑導引(三元一街),09,替代路徑導引(導三元一街),自動
5090,2020-05-14 21:08:42.134,2020-05-14 21:11:56.86,大溪-交通疏導策略(替代道路路徑導引),大溪-交通疏導策略(替代道路路徑導引)-034 替代路徑導引(導三元一街),034,X502620,候隊,前往大溪老街  經崎頂極度壅塞請走三元一街,0,2020-05-22 18:29:19,大溪疏導策略-替代路徑導引(三元一街),09,替代路徑導引(導三元一街),自動
