group004,272,282,2020-06-16 00:05:00.079,2020-06-16 00:07:44
P104102,89,120,2020-06-16 00:06:00.023,2020-06-16 00:08:45
P104109,299,300,2020-06-16 00:06:00.055,2020-06-16 00:08:45
P104113,116,120,2020-06-16 00:06:00.011,2020-06-16 00:08:45
P104138,346,346,2020-06-16 00:06:00.021,2020-06-16 00:08:45
P107053,105,172,2020-06-16 00:06:00.026,2020-06-16 00:08:45
P109002,94,94,2020-06-16 00:06:00.018,2020-06-16 00:08:45
P109006,0,96,2020-06-16 00:06:00.013,2020-06-16 00:08:45
P109008,0,74,2020-06-16 00:06:00.009,2020-06-16 00:08:45
P109009,44,44,2020-06-16 00:06:00.004,2020-06-16 00:08:45
P109010,146,146,2020-06-16 00:06:00.049,2020-06-16 00:08:45
P109012,117,117,2020-06-16 00:06:00.028,2020-06-16 00:08:45
P109013,53,52,2020-06-16 00:06:00.024,2020-06-16 00:08:45
group004,275,282,2020-06-16 00:06:00.053,2020-06-16 00:08:45
P104102,89,120,2020-06-16 00:07:00.018,2020-06-16 00:09:46
P104109,303,303,2020-06-16 00:07:00.029,2020-06-16 00:09:46
P104113,117,120,2020-06-16 00:07:00.009,2020-06-16 00:09:46
P104138,344,344,2020-06-16 00:07:00.016,2020-06-16 00:09:46
P107053,110,172,2020-06-16 00:07:00.021,2020-06-16 00:09:46
P109002,94,94,2020-06-16 00:07:00.013,2020-06-16 00:09:46
P109006,0,96,2020-06-16 00:07:00.01,2020-06-16 00:09:46
P109008,0,74,2020-06-16 00:07:00.007,2020-06-16 00:09:46
P109009,44,44,2020-06-16 00:07:00.003,2020-06-16 00:09:46
P109010,146,146,2020-06-16 00:07:00.025,2020-06-16 00:09:46
P109012,117,117,2020-06-16 00:07:00.023,2020-06-16 00:09:46
P109013,53,52,2020-06-16 00:07:00.02,2020-06-16 00:09:46
group004,280,282,2020-06-16 00:07:00.027,2020-06-16 00:09:46
P104102,90,120,2020-06-16 00:08:00.021,2020-06-16 00:10:46
P104109,307,307,2020-06-16 00:08:00.034,2020-06-16 00:10:46
P104113,112,120,2020-06-16 00:08:00.012,2020-06-16 00:10:46
P104138,345,345,2020-06-16 00:08:00.019,2020-06-16 00:10:46
P107053,115,172,2020-06-16 00:08:00.025,2020-06-16 00:10:46
P109002,94,94,2020-06-16 00:08:00.016,2020-06-16 00:10:46
P109006,0,96,2020-06-16 00:08:00.014,2020-06-16 00:10:46
P109008,0,74,2020-06-16 00:08:00.01,2020-06-16 00:10:46
P109009,44,44,2020-06-16 00:08:00.005,2020-06-16 00:10:46
P109010,146,146,2020-06-16 00:08:00.029,2020-06-16 00:10:46
P109012,117,117,2020-06-16 00:08:00.026,2020-06-16 00:10:46
P109013,53,52,2020-06-16 00:08:00.023,2020-06-16 00:10:46
group004,285,285,2020-06-16 00:08:00.031,2020-06-16 00:10:46
P104102,98,120,2020-06-16 00:09:00.023,2020-06-16 00:11:47
P104109,312,312,2020-06-16 00:09:00.05,2020-06-16 00:11:47
P104113,113,120,2020-06-16 00:09:00.011,2020-06-16 00:11:47
P104138,346,346,2020-06-16 00:09:00.02,2020-06-16 00:11:47
P107053,119,172,2020-06-16 00:09:00.026,2020-06-16 00:11:47
