S501400,05,150,3,25,3,2,0,5,2020-05-25 12:00:07,
S501400,05,150,2,55,3,2,0,5,2020-05-25 12:00:07,
S501400,05,150,1,55,3,2,0,5,2020-05-25 12:00:07,
S501400,06,130,3,25,3,2,0,5,2020-05-25 12:00:07,
S501400,06,130,2,45,3,2,0,5,2020-05-25 12:00:07,
S501400,06,130,1,45,3,2,0,5,2020-05-25 12:00:07,
S501400,07,120,3,15,3,2,0,5,2020-05-25 12:00:07,
S501400,07,120,2,55,3,2,0,5,2020-05-25 12:00:07,
S501400,07,120,1,35,3,2,0,5,2020-05-25 12:00:07,
S501400,08,100,3,15,3,2,0,5,2020-05-25 12:00:07,
S501400,08,100,2,50,3,2,0,5,2020-05-25 12:00:07,
S501400,08,100,1,20,3,2,0,5,2020-05-25 12:00:07,
S501400,09,50,2,40,3,2,0,10,2020-05-25 12:00:07,
S501400,09,50,1,5,0,0,0,0,2020-05-25 12:00:07,
S501500,05,100,2,35,3,2,0,5,2020-05-25 12:00:07,
S501500,05,100,1,55,3,2,0,5,2020-05-25 12:00:07,
S501500,06,100,2,35,3,2,0,5,2020-05-25 12:00:07,
S501500,06,100,1,55,3,2,0,5,2020-05-25 12:00:07,
S501500,07,100,2,35,3,2,0,5,2020-05-25 12:00:07,
S501500,07,100,1,55,3,2,0,5,2020-05-25 12:00:07,
S501500,08,100,2,35,3,2,0,5,2020-05-25 12:00:07,
S501500,08,100,1,55,3,2,0,5,2020-05-25 12:00:07,
S501500,09,100,2,35,3,2,0,5,2020-05-25 12:00:07,
S501500,09,100,1,55,3,2,0,5,2020-05-25 12:00:07,
S501300,07,120,3,20,3,2,0,5,2020-05-25 12:00:07,
S501300,07,120,2,40,3,2,0,5,2020-05-25 12:00:07,
S501300,07,120,1,45,3,2,0,5,2020-05-25 12:00:07,
S501300,08,100,2,35,3,2,0,5,2020-05-25 12:00:07,
S501300,08,100,1,55,3,2,0,5,2020-05-25 12:00:07,
S501300,09,150,3,65,3,2,3,7,2020-05-25 12:00:07,
S501300,09,150,2,35,3,2,3,7,2020-05-25 12:00:07,
S501300,09,150,1,35,3,2,3,7,2020-05-25 12:00:07,
S506700,01,100,2,25,3,2,0,5,2020-05-25 12:00:07,
S506700,01,100,1,65,3,2,0,5,2020-05-25 12:00:07,
S506700,02,120,2,25,3,2,0,5,2020-05-25 12:00:07,
S506700,02,120,1,85,3,2,0,5,2020-05-25 12:00:07,
S505700,35,100,2,35,3,2,0,5,2020-05-25 12:00:07,
S505700,35,100,1,55,3,2,0,5,2020-05-25 12:00:07,
S501400,03,50,2,40,3,2,0,40,2020-05-25 12:00:07,
S501400,03,50,1,1,2,2,0,0,2020-05-25 12:00:07,
S501400,10,150,2,40,3,2,0,5,2020-05-25 12:00:07,
S501400,10,150,1,80,3,2,0,5,2020-05-25 12:00:07,
S501400,10,150,3,15,3,2,0,5,2020-05-25 12:00:07,
S501400,01,120,2,30,3,2,0,5,2020-05-25 12:00:07,
S501400,01,120,1,80,3,2,0,5,2020-05-25 12:00:07,
S505500,07,100,2,35,3,2,0,5,2020-05-25 12:00:07,
S505500,07,100,1,55,3,2,0,5,2020-05-25 12:00:07,
S506700,03,100,2,25,3,2,0,5,2020-05-25 12:00:07,
S506700,03,100,1,65,3,2,0,5,2020-05-25 12:00:07,
S501400,02,100,3,20,3,2,0,5,2020-05-25 12:00:07,
S501400,02,100,2,45,3,2,0,5,2020-05-25 12:00:07,
S501400,02,100,1,20,3,2,0,5,2020-05-25 12:00:07,
