S505300,1,1,0600,21,1,1,120,80,4,3,3,7,1,2020-05-19 16:58:09
S505300,1,1,0600,21,1,2,120,28,3,2,3,5,1,2020-05-19 16:58:09
S505300,1,1,0700,22,2,1,150,95,4,3,3,7,1,2020-05-19 16:58:09
S505300,1,1,0700,22,2,2,150,8,4,3,0,0,1,2020-05-19 16:58:09
S505300,1,1,0700,22,2,3,150,28,3,2,3,5,1,2020-05-19 16:58:09
S505300,1,1,0830,23,3,1,120,60,4,3,3,7,1,2020-05-19 16:58:09
S505300,1,1,0830,23,3,2,120,13,4,3,0,0,1,2020-05-19 16:58:09
S505300,1,1,0830,23,3,3,120,28,3,2,3,5,1,2020-05-19 16:58:09
S505300,1,1,1630,24,4,1,150,95,4,3,3,7,1,2020-05-19 16:58:09
S505300,1,1,1630,24,4,2,150,8,4,3,0,0,1,2020-05-19 16:58:09
S505300,1,1,1630,24,4,3,150,28,3,2,3,5,1,2020-05-19 16:58:09
S505300,1,1,1830,25,5,1,120,60,4,3,3,7,1,2020-05-19 16:58:09
S505300,1,1,1830,25,5,2,120,13,4,3,0,0,1,2020-05-19 16:58:09
S505300,1,1,1830,25,5,3,120,28,3,2,3,5,1,2020-05-19 16:58:09
S505300,1,1,2359,26,6,1,10,113,0,0,0,0,1,2020-05-19 16:58:09
S505300,1,1,2359,26,6,2,10,13,0,0,0,0,1,2020-05-19 16:58:09
S505300,2,1,0600,21,1,1,120,80,4,3,3,7,1,2020-05-19 16:58:09
S505300,2,1,0600,21,1,2,120,28,3,2,3,5,1,2020-05-19 16:58:09
S505300,2,1,0700,22,2,1,150,95,4,3,3,7,1,2020-05-19 16:58:09
S505300,2,1,0700,22,2,2,150,8,4,3,0,0,1,2020-05-19 16:58:09
S505300,2,1,0700,22,2,3,150,28,3,2,3,5,1,2020-05-19 16:58:09
S505300,2,1,0830,23,3,1,120,60,4,3,3,7,1,2020-05-19 16:58:09
S505300,2,1,0830,23,3,2,120,13,4,3,0,0,1,2020-05-19 16:58:09
S505300,2,1,0830,23,3,3,120,28,3,2,3,5,1,2020-05-19 16:58:09
S505300,2,1,1630,24,4,1,150,95,4,3,3,7,1,2020-05-19 16:58:09
S505300,2,1,1630,24,4,2,150,8,4,3,0,0,1,2020-05-19 16:58:09
S505300,2,1,1630,24,4,3,150,28,3,2,3,5,1,2020-05-19 16:58:09
S505300,2,1,1830,25,5,1,120,60,4,3,3,7,1,2020-05-19 16:58:09
S505300,2,1,1830,25,5,2,120,13,4,3,0,0,1,2020-05-19 16:58:09
